score,startHere,date,versionOrder,versionPages,pageCount,lane,tags,question,bernsteinNote,title,documentType,sourceClass,sourceUrl,pdfUrl,sourceNote
237,yes,1997-04-15,89,463-464,2,whether/whom/when,Alternatives; Russia Constraint; Allied Politics; Candidate Selection; Ratification Public Case; Bureaucratic Process,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.",Inviting Partners to Madrid,NSC information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 389-390. Secret."
117,no,1997-05-30,90,465-470,6,how/process,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Ratification Public Case,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Costs of NATO Enlargement,Presidential information memorandum with attached congressional report summary,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 432-437. Unclassified."
97,no,1997-06,91,471-472,2,future rounds/open door,Presidential Choice; Allied Politics; Open Door Deferral; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",President Clinton to Prime Minister Drnovsek on NATO Enlargement and the Open Door,Presidential reply draft,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 265-266."
253,yes,1997-06-09,92,473-478,6,whether/whom/when,Alternatives; Presidential Choice; Bureaucratic Process; Allied Politics; Candidate Selection; Open Door Deferral; Ratification Public Case,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.",Deciding Which Countries to Support for NATO Membership at the Madrid Summit,Presidential action memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 445-450. Secret."
67,no,1997-06-12,93,479-480,2,candidate-state cases,Allied Politics; Candidate Selection; Bureaucratic Process,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Chancellor Kohl and Romania's NATO Candidacy,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 147-148. Nodis."
261,yes,1997-06-13,94,481-487,7,whether/whom/when,Alternatives; Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.",NATO Enlargement -- U.S. Decision on New Members,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 155-161."
249,yes,1997-06-23,95,488-492,5,whether/whom/when,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Ratification Public Case,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.",Achieving Allied Consensus on NATO Enlargement: Whether to Set a Date or Name Names for the Second Round,Presidential information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 488-492. Confidential."
141,no,1997-06-26,96,493-495,3,how/process,Presidential Choice; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Ratification Public Case; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Prime Minister Drnovsek to President Clinton on Slovenia and NATO Enlargement,Foreign leader letter,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 261-263."
127,no,1997-07-24,97,496-505,10,future rounds/open door,Presidential Choice; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,The President's Working Lunch with President Roman Herzog of Germany,Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 274-283. Confidential."
205,yes,1997-12-17,98,506-509,4,how/process,Alternatives; Bureaucratic Process; Candidate Selection; Ratification Public Case,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Strategy for Completing Ratification of NATO Enlargement,Presidential action memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 303-306."
191,yes,1998-01-21,99,510-512,3,future rounds/open door,Bureaucratic Process; Allied Politics; Candidate Selection; Open Door Deferral,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",NATO's Open Door Policy,Issue paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/49412,https://clinton.presidentiallibraries.us/files/original/2f760ad25ed4dba1ca8256c93c6cf7f0.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2013-0804-M, Clinton Digital Library PDF pages 27-29. Confidential."
93,no,1998-01-22,100,513-514,2,how/process,Bureaucratic Process; Allied Politics; Candidate Selection; Ratification Public Case,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Ratification of NATO Enlargement,Issue paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/49412,https://clinton.presidentiallibraries.us/files/original/2f760ad25ed4dba1ca8256c93c6cf7f0.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2013-0804-M, Clinton Digital Library PDF pages 19-20. Confidential."
221,yes,1998-02-09,101,515-519,5,how/process,Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Ratification Public Case,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","Committee to Expand NATO Dinner IHO Polish, Czech and Hungarian Foreign Ministers",NSC information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 527-531. Confidential."
26,no,1998-07-09,102,520-523,4,core expansion policy,Candidate Selection; Open Door Deferral,"What did policymakers defer while deciding the first round: the Baltics, a second round, dates, or an open-door formula?","Useful for tracking what policymakers preserved, postponed, or refused to decide in the first round.",DEPUTY SECRETARY DISCUSSES NATO ENLARGEMENT AND KOSOVO WITH DANISH DEFMIN,TE,state-foia,https://foia.state.gov/DOCUMENTS/FOIA_L_Jul2021_C/F-2017-13804/DOC_0C06771955/C06771955.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jul2021_C/F-2017-13804/DOC_0C06771955/C06771955.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06771955. UNSPECIFIED IN SOURCE."
117,no,1998-09-14,103,524-526,3,future rounds/open door,Presidential Choice; Bureaucratic Process; Russia Constraint; Candidate Selection; Open Door Deferral,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Meeting with President Vaclav Havel of the Czech Republic,Secretary of State memorandum to the President,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 3-5. Confidential."
117,no,1998-09-15,104,527-530,4,future rounds/open door,Presidential Choice; Bureaucratic Process; Russia Constraint; Candidate Selection; Open Door Deferral,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Summary Points to Be Made for Meeting with Czech President Havel,Presidential talking points,clinton-library-mdr,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,"Source: Clinton Presidential Records, NSC Records Management, [Havel and Telcons], Mandatory Declassification Review 2015-0773-M, Clinton Library PDF pages 138-140 and 142. Secret; President has seen; page 141 is a duplicate/incomplete packet copy and is omitted."
